,trial,learning_rate,norm,weight_decay,train_batch_size,training_loss,model_name,epoch,train_loss,train_corr,valid_mae,valid_corr,valid_perc,valid_rmse,valid_ssim,lr,pruned
0,0,0.00020147469288875854,zscore,2.02388547807356e-07,50,logcosh,fpn,1,0.12473560694385977,0.7273339313619277,0.4111282750964165,0.6104995086789131,0.39421290159225464,0.3219345845282078,-10.0,0.00020147469288875854,0
1,1,1.7775700390834744e-06,None,6.483914290228104e-09,161,mae,unet++,1,278.89080810546875,-0.016048089228570463,277.6111145019531,-0.29347607120871544,0.5416111350059509,77276.283203125,-10.0,1.7775700390834744e-06,0
2,2,2.8278184919019826e-06,zscore,3.3013645881533263e-12,74,xsigmoid,fpn,0,0.2263677783987739,-0.07506056544794278,0.5609714016318321,-0.03543495014309883,0.4316181242465973,0.4840466305613518,-10.0,2.8278184919019826e-06,0
3,3,4.949943107043112e-05,minmax,0.0004544565761760689,124,huber,deeplabv3+,0,0.024488420092633793,0.3870336421366249,0.19740710780024529,0.08274871576577425,0.030542824417352676,0.050422089640051126,0.705638974905014,4.949943107043112e-05,0
4,4,0.005020457584195253,zscore,1.790749812643146e-10,112,huber,deeplabv3,1,0.12232978961297444,0.7851147396223885,0.5515439361333847,0.21639102324843407,0.40872620046138763,0.4576195031404495,-10.0,0.005020457584195253,0
5,5,0.0016907570137686297,None,8.525628089939761e-06,64,xtanh,linknet,1,278.3686218261719,0.15368261360205138,277.46399688720703,-0.1648201011121273,0.4030214697122574,77194.81640625,-10.0,0.0016907570137686297,0
6,6,3.369430157993222e-06,None,0.0007019418078443695,54,mse,manet,0,278.7248649597168,0.11039631627500057,277.5100860595703,0.028322040452621877,0.46546581387519836,77219.19140625,-10.0,3.369430157993222e-06,0
7,7,0.001482245671310112,negone,4.084566592864491e-09,206,logcosh,manet,1,0.004996799514628947,0.9091964513063431,0.5349981337785721,0.188602264970541,0.3121890649199486,0.3535980135202408,-10.0,0.001482245671310112,0
8,8,3.1404607365195165e-05,None,1.1223122703665932e-12,55,logcosh,linknet,1,278.75455474853516,0.1028981190174818,277.5837860107422,0.14972006902098656,0.581471636891365,77259.673828125,-10.0,3.1404607365195165e-05,0
9,9,0.002816186635011678,minmax,7.421184372492707e-12,207,mae,unet++,1,0.0024751719320192933,0.8604162931442261,0.4551970660686493,-0.4742346256971359,0.24467510730028152,0.2520500048995018,0.39758212864398956,0.002816186635011678,0
10,11,0.00023640362045681694,zscore,4.420847623635391e-10,4,logcosh,unet,1,0.11451660351912406,0.8493511980230158,0.35278286784887314,0.7874039858579636,0.2721446231007576,0.2932178135961294,-10.0,0.00023640362045681694,0
