,Unnamed: 0,trial,learning_rate,norm,train_batch_size,training_loss,model_name,epoch,train_loss,train_corr,valid_mae,valid_corr,valid_perc,valid_rmse,valid_ssim,lr,pruned
0,0,0,1.3317799173970312e-05,minmax,35,mse,unet,9,0.0097364315390586,0.7532476329803467,0.1061878241598606,0.7427444905042648,0.1198231931775808,0.0159694305621087,0.455294594168663,1.3317799173970312e-05,0
0,0,1,0.0001856831436008,minmax,21,mse,unet,8,0.0008780617472006,0.9483230397814796,0.0268520889803767,0.9490069150924684,0.0058488342328928,0.0012068168580299,0.8642875105142593,0.0001856831436008,0
1,1,2,0.005975780397713,minmax,54,mae,unet,9,0.0005401073049142,0.9642153605818748,0.0268486337736248,0.9495371729135512,0.0094362553209066,0.0012548328086268,0.9001494497060776,0.0005975780397713,0
1,1,3,0.0003681957517785,zscore,50,mse,unet,8,0.1114091307801358,0.8524527304312762,0.3510628528892994,0.8057462871074677,0.2626883536577225,0.2931532515212893,-10.0,0.0003681957517785,0
2,2,4,0.0032271891518097,zscore,46,mae,unet,9,0.1088743013770956,0.837814167926186,0.3442458026111126,0.7884427607059479,0.2873371727764606,0.2887001093477011,-10.0,0.0003227189151809,0
2,2,5,0.0002678926914125,zscore,40,mae,unet,9,0.1100816792723807,0.8531046672300859,0.3486502766609192,0.800063967704773,0.2616189233958721,0.2926282975822687,-10.0,0.0002678926914125,0
3,3,6,0.0053853700112689,zscore,50,mse,unet,6,0.1096631235936108,0.8290477745673236,0.3473173677921295,0.7774192094802856,0.3309222459793091,0.2897157939150929,-10.0,0.0053853700112689,0
3,3,7,5.940314828712143e-05,zscore,32,mse,unet,8,0.1229903783511232,0.8821315897835625,0.3752545118331909,0.8352984189987183,0.2577298078685999,0.3157904427498579,-10.0,5.940314828712143e-05,0
4,4,8,0.0018379724779196,minmax,21,mse,unet,7,0.0006516567879034,0.9660418558688392,0.0251156627200543,0.9552781283855438,0.0066833696328103,0.0010945362155325,0.9054254442453384,0.0001837972477919,0
4,4,9,2.2734862011176557e-05,zscore,31,mae,unet,8,0.1377185793327433,0.8906044065952301,0.4103518202900886,0.8427212834358215,0.2759519834071398,0.3476808965206146,-10.0,2.2734862011176557e-05,0
5,5,10,0.0011212298602036,zscore,64,mse,unet,8,0.1106136796566156,0.8410920042258042,0.3449428230524063,0.7838128209114075,0.2884501032531261,0.2893252726644277,-10.0,0.0011212298602036,0
