,Unnamed: 0,trial,learning_rate,norm,weight_decay,train_batch_size,training_loss,model_name,epoch,train_loss,train_corr,tcesm_corr,train_custom,valid_loss,valid_corr,vcesm_corr,valid_custom,valid_perc,valid_rmse,valid_mae,valid_ssim,valid_cesm_perc,valid_cesm_rmse,valid_cesm_mae,valid_cesm_ssim,valid_custom_second,valid_custom_third,evals_loss,evals_corr,ecesm_corr,evals_custom,evals_perc,evals_rmse,evals_mae,evals_ssim,evals_cesm_perc,evals_cesm_rmse,evals_cesm_mae,evals_cesm_ssim,evals_custom_second,evals_custom_third,lr
0,0,0,0.0006815916362159,negone,9.064403529056412e-12,24,smooth,linknet,9,0.0052987350241488,0.9226658526394104,0.9326173729366728,1.0107856167742575,0.0040211518062278,0.9327668994665146,0.9297411292791368,0.9967561346901262,0.0523580480366945,0.0080423036124557,0.0587640032172203,-10.0,0.0634271288290619,0.0082941484870389,0.0615840088576078,-10.0,0.9696358372439632,0.954208800422398,0.0046433961018919,0.9279625058174134,0.9367727518081664,1.009494183154515,0.0555671866983175,0.0092867922037839,0.0635361038148403,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,1.3397915592874277,1.1129773036548487,0.0006815916362159
1,1,1,0.0002184161816614,negone,6.808851294729696e-06,68,logcosh,deeplabv3+,17,0.0068393762145812,0.882568766673406,0.9331798205773036,1.0573451676685337,0.0056271684006787,0.8941217362880707,0.9297411292791368,1.0398372968080825,0.1883603073656559,0.0112543368013575,0.0715646166354417,-10.0,0.0634271288290619,0.0082941484870389,0.0615840088576078,-10.0,1.3569008101246898,1.1620649250182902,0.0062516153790056,0.8876862525939941,0.9367727518081664,1.055297126739016,0.1801595360040664,0.0125032307580113,0.076526540517807,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,1.80382231731005,1.3405339265334115,0.0002184161816614
2,2,2,1.564512735068924e-05,zscore,1.9162958391578588e-09,4,logcosh,fpn,11,0.2966906886209141,0.768271203474565,0.931651990792968,1.212660303522377,0.2630731090903282,0.7705740183591843,0.929741144180298,1.206556569555816,0.312030017375946,0.5921796783804893,0.5825355723500252,-10.0,0.0846779085695743,0.1552853770554065,0.2664693966507911,-10.0,3.81349287105892,2.186125610189449,0.2791411578655243,0.7669401526451111,0.9367727279663086,1.2214417575288756,0.3205059051513672,0.6358138918876648,0.598905599117279,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,4.899398683645547,2.42462576147585,1.564512735068924e-06
3,3,3,4.8044584880007385e-05,zscore,6.872436643850065e-12,93,mse,pspnet,32,0.2946109904183281,0.7870133916536967,0.9333596759372288,1.185951453730698,0.2642628736793995,0.7763891816139221,0.929741144180298,1.1975194479752986,0.364319697022438,0.5954972952604294,0.5824073851108551,-10.0,0.0846779085695743,0.1552853770554065,0.2664693966507911,-10.0,3.834857515578901,2.1856445521738523,0.2830656409263611,0.7724017024040222,0.9367727279663086,1.2128051052330648,0.3860744595527648,0.6446664452552795,0.6039465069770813,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,4.967613909625316,2.4450335103366343,4.8044584880007385e-05
4,4,4,0.0017593644610275,zscore,0.0006246573435914,99,mse,pspnet,19,0.2932995893061161,0.7753824442625046,0.9330852255225182,1.2033870929461274,0.2622946761548519,0.7722809314727783,0.929741144180298,1.2038898104181273,0.3241077959537506,0.5902169793844223,0.5808317363262177,-10.0,0.0846779085695743,0.1552853770554065,0.2664693966507911,-10.0,3.800853567646811,2.179731494973133,0.2809315919876098,0.7669049620628356,0.9367727279663086,1.221497805212473,0.3526291191577911,0.6394840121269226,0.6026033639907837,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,4.927679572909629,2.439595893639241,1.759364461027559e-05
5,5,5,4.1690124557957165e-06,minmax,0.0006820167396137,21,smooth,linknet,21,0.0074365559765802,0.4235683672484897,0.93213603752,2.200674341134533,0.0077126297401264,0.4546964988112449,0.9297411292791368,2.0447510189980456,0.1833734475076198,0.0154252594802528,0.0951928663998842,0.2580183632671833,0.040159972384572,0.0020735371217597,0.0307920044288039,0.8299514651298523,7.439104570822471,3.091480017807398,0.0076485408470034,0.428425669670105,0.9367727041244508,2.186546629770764,0.1827511012554168,0.0152970816940069,0.0945691332221031,0.2574890345335007,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,8.827547978088651,3.3131807770034576,4.1690124557957165e-06
6,6,6,1.8639251584498316e-05,zscore,1.8680867568108324e-09,54,xsigmoid,manet,55,0.3015515878796577,0.8780619353055954,0.9328804947435856,1.062431312910645,0.2688203863799572,0.8670630156993866,0.929741144180298,1.072287858374808,0.1985831763595342,0.6068613529205322,0.5860509723424911,-10.0,0.0846779085695743,0.1552853770554065,0.2664693966507911,-10.0,3.908039278572903,2.19931811948564,0.2892351865768433,0.8636192083358765,0.9367727279663086,1.084705757959452,0.2251633673906326,0.6612441062927246,0.6112574994564056,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,5.095356589835785,2.4746315316833254,1.8639251584498316e-05
0,0,7,1.1800902996579928e-06,negone,6.049301659407806e-05,7,huber,unet,30,0.0203434205022714,0.851993235330733,0.9313392639160156,1.093129880960242,0.0162372207269072,0.8466260582208633,0.9297411292791368,1.098172115364527,0.1812000349164009,0.0324745373800396,0.1483967788517475,-10.0,0.0634271306917071,0.0082941484870389,0.0615840088576078,-10.0,3.91535519659275,2.4096641580262306,0.0170884871855378,0.8347784042358398,0.9367727518081664,1.122181344240323,0.1809076011180877,0.0341769851744174,0.1516326189041137,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,4.930662305539532,2.6561852742157783,1.1800902996579928e-06
1,1,8,0.0097717791570169,zscore,0.00034060883814,4,huber,deeplabv3+,12,0.285657064481215,0.7996877331625332,0.9316948254000056,1.1650732989431047,0.2519850991666317,0.8134544491767883,0.929741144180298,1.1429541569551818,0.2342484854161739,0.5679706186056137,0.5537199229001999,-10.0,0.0846777558326721,0.1552853770554065,0.2664693966507911,-10.0,3.6575924235477695,2.0779869278041385,0.2712737262248993,0.8028494715690613,0.9367727279663086,1.1668099203397524,0.2624898612499237,0.6187660098075867,0.5775694966316223,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,4.768032615543285,2.338248102271362,0.0009771779157016
2,2,9,5.47663367092474e-05,minmax,5.2574915580116704e-11,114,smooth,pspnet,24,0.0038521490725023,0.7380156517028809,0.9327746800013952,1.263895525588287,0.0015437210386153,0.8672989755868912,0.9297411292791368,1.0719961114331902,0.1253686342388391,0.0030874420772306,0.0384236639365553,0.6149545609951019,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,1.4889736213694955,1.2478454926634313,0.001501087564975,0.8743275165557861,0.9367727041244508,1.0714208192996753,0.119936029613018,0.00300217512995,0.0386736549437046,0.6147548437118531,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,1.7324771827976468,1.3549115421732454,5.47663367092474e-06
