number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_learning_rate,params_model_name,params_norm,params_train_batch_size,params_training_loss,params_weight_decay,state
0,1.0142489313781007,0.946606017250634,0.9202209150545435,2023-05-15 15:28:25.969522,2023-05-15 15:44:26.908798,0 days 00:16:00.939276,0.0007244169897842657,deeplabv3+,minmax,72,logcosh,0.0003563372592711742,COMPLETE
1,1.0314923904258184,1.2914674051426158,1.1683407352880195,2023-05-15 15:28:26.073629,2023-05-15 15:41:50.659509,0 days 00:13:24.585880,0.0007291131278606368,fpn,minmax,69,xtanh,8.820187429005921e-10,COMPLETE
2,26.94447975158926,12056.517145356027,162.33537089427594,2023-05-15 15:41:50.809684,2023-05-15 15:49:25.752140,0 days 00:07:34.942456,0.0044041396570147434,deeplabv3,None,93,mse,9.686252228913244e-07,COMPLETE
3,1.1542321395464599,3.6844893932101352,2.0902240874765625,2023-05-15 15:44:27.026468,2023-05-15 15:55:39.479356,0 days 00:11:12.452888,0.00020106272399616354,fpn,zscore,17,mse,0.0003457871263194445,COMPLETE
4,1.2103848534787056,6.647368119725359,3.1940592323128962,2023-05-15 15:49:25.847049,2023-05-15 16:27:58.827759,0 days 00:38:32.980710,1.6571567941573003e-06,deeplabv3,negone,28,xsigmoid,0.0004886767616092857,COMPLETE
5,1.2772670539117577,3.369817107280385,2.097706164805902,2023-05-15 15:55:39.594525,2023-05-15 16:17:17.331443,0 days 00:21:37.736918,7.291871985889319e-06,linknet,minmax,39,smooth,2.348787222644882e-05,COMPLETE
6,1.082582921808754,6.347660204103818,3.2670502675480195,2023-05-15 16:17:17.414571,2023-05-15 16:55:21.288572,0 days 00:38:03.874001,3.6934624978451226e-06,unet++,negone,63,xtanh,6.747085463275048e-05,COMPLETE
7,1.0497132461942011,1.7070653024225448,1.4682536309915508,2023-05-15 16:27:59.009170,2023-05-15 16:38:41.284149,0 days 00:10:42.274979,2.6492323919800125e-05,deeplabv3+,minmax,97,xsigmoid,8.966346907110688e-05,COMPLETE
8,1.1786385984096865,3.867447687068986,2.19354609434715,2023-05-15 16:38:41.474689,2023-05-15 16:46:12.622480,0 days 00:07:31.147791,0.0009394207697552794,deeplabv3,zscore,107,logcosh,7.873162840378467e-06,COMPLETE
9,1.0800314216157187,1.604065890229391,1.2660403670448446,2023-05-15 16:46:12.716713,2023-05-15 16:55:52.117268,0 days 00:09:39.400555,0.0031061109991745313,pspnet,negone,53,smooth,3.107198497742131e-07,COMPLETE
10,25.14106216422959,12093.724527988952,162.58580209888902,2023-05-15 16:56:38.704541,2023-05-15 16:59:15.233957,0 days 00:02:36.529416,0.0002458180262234768,manet,None,69,logcosh,0.0006277624732018657,COMPLETE
11,14.390658438160925,18.136977171538135,5.296075636738638,2023-05-15 16:56:38.704971,2023-05-15 16:59:37.747054,0 days 00:02:59.042083,4.233640369528075e-06,linknet,minmax,100,xtanh,1.3593864166890444e-08,COMPLETE
12,1.0491966878920613,2.381939369027058,1.791526048582354,2023-05-15 16:59:15.358888,2023-05-15 17:06:56.680104,0 days 00:07:41.321216,0.00015242558663242106,deeplabv3+,negone,112,huber,2.8803159499718976e-08,COMPLETE
