number,values_0,values_1,datetime_start,datetime_complete,duration,params_learning_rate,params_model_name,params_norm,params_train_batch_size,params_training_loss,params_weight_decay,state
0,0.9696358372439633,0.9542088004223979,2023-05-09 17:42:36.991893,2023-05-09 17:50:48.871814,0 days 00:08:11.879921,0.000681591636215905,linknet,negone,24,smooth,9.064403529056413e-12,COMPLETE
1,1.3569008101246898,1.1620649250182902,2023-05-09 17:50:49.019868,2023-05-09 18:02:05.759376,0 days 00:11:16.739508,0.00021841618166149,deeplabv3+,negone,68,logcosh,6.808851294729696e-06,COMPLETE
2,3.81349287105892,2.186125610189449,2023-05-09 18:02:05.896004,2023-05-09 18:11:07.196849,0 days 00:09:01.300845,1.564512735068924e-05,fpn,zscore,4,logcosh,1.9162958391578588e-09,COMPLETE
3,3.8348575155789013,2.1856445521738523,2023-05-09 18:11:07.271221,2023-05-09 18:27:53.046720,0 days 00:16:45.775499,4.8044584880007385e-05,pspnet,zscore,93,mse,6.872436643850065e-12,COMPLETE
4,3.800853567646811,2.1797314949731326,2023-05-09 18:27:53.138713,2023-05-09 18:38:31.437180,0 days 00:10:38.298467,0.001759364461027559,pspnet,zscore,99,mse,0.0006246573435914948,COMPLETE
5,7.4391045708224715,3.091480017807398,2023-05-09 18:38:31.518141,2023-05-09 18:51:22.946855,0 days 00:12:51.428714,4.1690124557957165e-06,linknet,minmax,21,smooth,0.0006820167396137273,COMPLETE
6,3.9080392785729026,2.19931811948564,2023-05-09 18:51:23.163378,2023-05-09 19:19:15.791538,0 days 00:27:52.628160,1.8639251584498313e-05,manet,zscore,54,xsigmoid,1.8680867568108324e-09,COMPLETE
7,3.91535519659275,2.4096641580262306,2023-05-09 19:20:20.130672,2023-05-09 19:40:19.035444,0 days 00:19:58.904772,1.1800902996579928e-06,unet,negone,7,huber,6.049301659407806e-05,COMPLETE
8,3.6575924235477695,2.0779869278041385,2023-05-09 19:40:19.139827,2023-05-09 19:50:03.702217,0 days 00:09:44.562390,0.009771779157016975,deeplabv3+,zscore,4,huber,0.00034060883814005454,COMPLETE
9,1.4889736213694955,1.2478454926634313,2023-05-09 19:50:03.797432,2023-05-09 20:03:00.366982,0 days 00:12:56.569550,5.4766336709247395e-05,pspnet,minmax,114,smooth,5.2574915580116704e-11,COMPLETE
10,0.43218627836016443,0.7080739231440614,2023-05-09 20:03:00.428757,2023-05-09 20:28:22.793384,0 days 00:25:22.364627,0.007501259681860686,unet,minmax,106,xsigmoid,2.2024954963034634e-08,COMPLETE
11,0.4449377667098648,0.7386322148339957,2023-05-09 20:28:22.949386,2023-05-09 20:47:51.327404,0 days 00:19:28.378018,1.5122206379660281e-05,unet++,minmax,23,xsigmoid,2.5450940450560455e-06,COMPLETE
12,2.581283578197645,1.80498657957467,2023-05-09 20:47:51.394763,2023-05-09 21:03:04.869425,0 days 00:15:13.474662,7.866854697098944e-06,deeplabv3+,minmax,60,logcosh,4.6133440352820493e-07,COMPLETE
13,0.6372301183868169,0.8899434537381335,2023-05-09 21:04:09.208553,2023-05-09 21:24:05.187699,0 days 00:19:55.979146,0.00013010438330093263,linknet,minmax,108,huber,0.0002735885609062792,COMPLETE
14,4.267671647758458,2.323718911468465,2023-05-09 21:24:05.280603,2023-05-09 21:57:31.516599,0 days 00:33:26.235996,7.555770440130107e-06,deeplabv3+,zscore,74,logcosh,3.549170841472894e-06,COMPLETE
15,17.003322324885485,4.7866183071823345,2023-05-09 21:57:31.606399,2023-05-09 22:12:50.046567,0 days 00:15:18.440168,1.305674882236485e-06,linknet,minmax,9,mse,3.381440027354686e-05,COMPLETE
16,84.24836891986635,13.046015803385226,2023-05-09 22:12:50.146208,2023-05-09 22:15:42.957719,0 days 00:02:52.811511,0.001393634059789585,fpn,minmax,52,logcosh,5.93709966412361e-11,COMPLETE
17,1.398944810988006,1.207052196612233,2023-05-09 22:15:43.027015,2023-05-09 22:32:27.089236,0 days 00:16:44.062221,0.00012674431398915247,linknet,negone,41,mae,3.044135118932579e-12,COMPLETE
18,7.688650020303904,3.3321338897557067,2023-05-09 22:32:50.122983,2023-05-09 22:35:57.470262,0 days 00:03:07.347279,3.183839624402761e-06,linknet,zscore,24,mse,1.8901762766488768e-11,COMPLETE
