,Unnamed: 0,trial,learning_rate,norm,weight_decay,train_batch_size,training_loss,model_name,epoch,train_loss,train_corr,tcesm_corr,train_custom,valid_loss,valid_corr,vcesm_corr,valid_custom,valid_perc,valid_rmse,valid_mae,valid_ssim,valid_cesm_perc,valid_cesm_rmse,valid_cesm_mae,valid_cesm_ssim,valid_custom_second,valid_custom_third,evals_loss,evals_corr,ecesm_corr,evals_custom,evals_perc,evals_rmse,evals_mae,evals_ssim,evals_cesm_perc,evals_cesm_rmse,evals_cesm_mae,evals_cesm_ssim,evals_custom_second,evals_custom_third,lr
0,0,0,1.3548983981573254e-05,zscore,3.4613408493270094e-06,20,xsigmoid,linknet,30,0.3216301179067655,0.858070129697973,0.9330381480130282,1.0873681715752566,0.2893090285360813,0.858081728219986,0.929741144180298,1.083511178019095,0.2778940051794052,0.6540526896715164,0.6238410919904709,-10.0,0.0846777558326721,0.1552853770554065,0.2664693966507911,-10.0,4.211939991221113,2.3411359797088305,0.3079063892364502,0.8570232629776001,0.9367727279663086,1.093054025991816,0.2990979045629501,0.7043229341506958,0.6454330444335937,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,5.427309627026781,2.6129887400418674,1.3548983981573254e-05
1,1,1,3.5669352369174383e-06,minmax,6.120061875024669e-09,49,smooth,manet,45,0.002444223449048,0.8213609490129683,0.9326705038547516,1.1355184404317544,0.0019503687217365,0.8462317287921906,0.9297411292791368,1.0986838446794442,0.0599575256928801,0.0039007374434731,0.0447394028306007,0.6004839241504669,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,1.8811997154711129,1.4529551960167273,0.0015741064911708,0.8723348617553711,0.9367727041244508,1.0738682416513925,0.0578616097569465,0.0031482129823416,0.0433826729655265,0.591624665260315,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,1.8167518290596816,1.519889558328065,3.566935236917439e-07
2,2,2,4.634419553561244e-05,minmax,1.04474179140555e-07,4,xtanh,pspnet,23,0.0022444411381994,0.8218941913409666,0.9312478778037158,1.133050808260772,0.0014366351242642,0.876064345240593,0.9297411292791368,1.0612703671027754,0.1236048880964517,0.0028732702485285,0.0368137042969465,0.6190435290336609,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,1.385685463923665,1.1955605027943454,0.0014399279141798,0.8806710124015809,0.9367727041244508,1.0637033477119693,0.1180840373039245,0.0028798558283597,0.0373085483908653,0.6156082272529602,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,1.6618898952983645,1.3070857386015209,4.6344195535612454e-07
3,3,3,0.0040266009683403,zscore,1.6886801008884378e-10,36,mse,pspnet,13,0.2950902121762435,0.7739915276567141,0.9326934317747752,1.205043464233435,0.2622787617146969,0.7781334966421127,0.929741144180298,1.1948350099210727,0.3194676749408245,0.5901288315653801,0.5809634178876877,-10.0,0.0846777558326721,0.1552853770554065,0.2664693966507911,-10.0,3.800285917165396,2.1802256663981634,0.2804935753345489,0.7714992523193359,0.9367727279663086,1.2142237664522886,0.3478201687335968,0.6385597109794616,0.6020586967468262,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,4.92055717454284,2.4373908479140414,0.000402660096834
4,4,4,0.0015476765658137,minmax,1.4854758080407468e-10,52,xsigmoid,unet++,21,0.0004123240269109,0.9698761701583862,0.9325678050518036,0.9615328572301246,0.0003565468505257,0.971509113907814,0.9297411292791368,0.9570071098348536,0.0026464903494343,0.0007130937010515,0.0197271956130862,0.945646032691002,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,0.3439020664584843,0.6406596770502122,0.0004164492420386,0.9683631777763366,0.9367727041244508,0.9673774526160448,0.0033831034786999,0.0008328984840773,0.0210338342934846,0.943828010559082,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,0.4806440519926261,0.7369095292877399,0.0001547676565813
5,5,5,0.000280738849676,minmax,0.0001724059866737,41,smooth,linknet,26,0.0006162399742087,0.9559566775957744,0.9323561191558838,0.9753121046246094,0.0004543116665445,0.962794542312622,0.9297411292791368,0.9656692974660082,0.003566529485397,0.000908623333089,0.0223870403133332,0.8971785455942154,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,0.4381996944033206,0.7270406954212975,0.0005055913119576,0.9604673027992248,0.9367727041244508,0.9753301350231104,0.0038466169033199,0.0010111826239153,0.0235199313610792,0.8940127730369568,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,0.5835271920342598,0.8240086570208224,2.807388496760832e-05
6,6,6,1.4010690805632776e-06,minmax,3.66615242098248e-10,52,mse,fpn,33,0.0361944021424278,0.3996571060270071,0.93250734731555,2.333268527577576,0.0170312304981052,0.628883495926857,0.9297411292791368,1.478399632524736,0.1372179165482521,0.0340624609962105,0.1539219357073307,0.4288996756076813,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,16.427225072924248,4.998763106286992,0.0169532533735036,0.5888552784919738,0.9367727041244508,1.590836897180364,0.1427078038454055,0.0339065067470073,0.1536837011575698,0.4124757289886475,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,19.56656315667439,5.38422915665464,1.4010690805632776e-06
0,0,7,0.0012587464981383,minmax,1.242582641464375e-12,20,smooth,pspnet,14,0.0016633416658309,0.8682617558674379,0.9327926513823596,1.0743219369952002,0.0014153060910757,0.8768865466117859,0.9297411292791368,1.0602752806182012,0.1241108998656272,0.0028306121821515,0.0359797170385718,0.6201227903366089,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,1.3651128559248071,1.168475963354797,0.0014084605267271,0.8825108170509338,0.9367727041244508,1.0614858039415795,0.118626169860363,0.0028169210534542,0.0366111136972904,0.6175522565841675,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,1.6255718735945472,1.2826514740456565,1.258746498138382e-05
1,1,8,0.0001197599388452,zscore,0.0004903908171456,12,xtanh,deeplabv3+,3,0.2944864634781667,0.8165203324735981,0.932027424035007,1.1414626029109247,0.2612608335912227,0.8215066641569138,0.929741144180298,1.131751189303451,0.318364642560482,0.5906844660639763,0.5727246254682541,-10.0,0.0846777558326721,0.1552853770554065,0.2664693966507911,-10.0,3.8038640679812192,2.149307322592137,0.2792580902576446,0.818361222743988,0.9367727279663086,1.1446934457931468,0.3342990219593048,0.6380275368690491,0.5926200866699218,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,4.916456394158373,2.39917932145859,0.0001197599388452
2,2,9,0.0002554403241695,minmax,4.408748847385961e-10,26,mae,deeplabv3+,15,0.0011382555045808,0.9139969764333784,0.9322055704665908,1.0199219412128324,0.0010106033005286,0.9138616621494292,0.9297411292791368,1.0173762263889683,0.0862248688936233,0.0020212066010572,0.0289947162382304,0.7444222271442413,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,0.974762679600298,0.9416313350198076,0.0009921004180796,0.918511474132538,0.9367727041244508,1.0198813302894874,0.0804022669792175,0.0019842008361592,0.0294178057461977,0.748186993598938,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,1.1450306947253863,1.0306376423162962,2.5544032416955045e-06
