number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_learning_rate,params_model_name,params_norm,params_train_batch_size,params_training_loss,params_weight_decay,state
0,1.1670307542993081,4.718692817676456,2.5057486922170127,2023-05-30 15:46:46.735020,2023-05-30 15:56:19.240160,0 days 00:09:32.505140,1.2871644037468007e-05,deeplabv3+,zscore,49,smooth,2.3534289524959783e-10,COMPLETE
1,13.70943072423721,11.082099839355626,3.911683399489025,2023-05-30 15:46:46.961414,2023-05-30 15:51:19.835865,0 days 00:04:32.874451,0.0037491208546242116,fpn,negone,67,logcosh,2.07706808759448e-10,COMPLETE
2,1.1066033071676344,1.7825956819896327,1.4031935358624923,2023-05-30 15:51:19.941459,2023-05-30 16:28:41.756355,0 days 00:37:21.814896,3.6067010350850016e-06,pspnet,negone,76,mse,7.61953912109223e-05,COMPLETE
3,1.0188607527965086,1.09110444680181,1.014967351540921,2023-05-30 15:56:19.354286,2023-05-30 16:01:29.615837,0 days 00:05:10.261551,0.004812909607380071,deeplabv3+,minmax,6,huber,1.769209457899457e-06,COMPLETE
4,1.10223481335141,1.805638906207943,1.5343633088478081,2023-05-30 16:01:29.740872,2023-05-30 16:11:16.108604,0 days 00:09:46.367732,1.8465638594377956e-05,manet,minmax,116,huber,6.387046286223154e-11,COMPLETE
5,1.0865227315656576,1.6954600507566768,1.3586882278659769,2023-05-30 16:11:16.201426,2023-05-30 16:32:30.131544,0 days 00:21:13.930118,4.01233423196055e-06,pspnet,minmax,58,mse,2.7021539912439333e-05,COMPLETE
6,1.043991112219754,4.507088206124441,2.4483307482581322,2023-05-30 16:28:41.853015,2023-05-30 16:55:17.460353,0 days 00:26:35.607338,6.886914959777775e-06,unet++,zscore,41,mse,7.817452910118118e-10,COMPLETE
7,1.0798595650064549,2.0580574459606567,1.502823290428844,2023-05-30 16:32:30.245330,2023-05-30 16:44:59.826559,0 days 00:12:29.581229,1.1833052953083575e-05,deeplabv3,negone,4,huber,9.967021327088652e-07,COMPLETE
8,2.319122406941369,31.126042510088926,7.26448755806512,2023-05-30 16:44:59.920281,2023-05-30 16:49:19.929098,0 days 00:04:20.008817,1.4154197602568483e-06,unet++,negone,128,smooth,0.0003686327726084976,COMPLETE
9,1.0610244561422166,2.358765976450138,1.7649497259189315,2023-05-30 16:49:20.040328,2023-05-30 17:05:20.333733,0 days 00:16:00.293405,1.5824633856569872e-05,fpn,minmax,38,smooth,5.727108431158585e-10,COMPLETE
10,1.1022345796897428,7.534230607942799,3.5984003466387446,2023-05-30 16:55:17.560099,2023-05-30 17:34:27.679645,0 days 00:39:10.119546,1.5182552524185592e-06,unet++,negone,35,xtanh,1.7783298198852854e-07,COMPLETE
11,1.0668391479584003,1.437859114802106,1.2160765755619867,2023-05-30 17:05:20.449769,2023-05-30 17:18:19.922469,0 days 00:12:59.472700,3.202435330388445e-05,pspnet,minmax,30,huber,3.156322519289736e-12,COMPLETE
12,1.0544146620215815,1.3467440288353372,1.1670169157275685,2023-05-30 17:18:48.059711,2023-05-30 17:36:42.702545,0 days 00:17:54.642834,0.0003659508224469902,fpn,negone,30,logcosh,4.209618424348185e-12,COMPLETE
13,1.2917752499375166,5.247298813566081,2.533262187622334,2023-05-30 17:34:52.591627,2023-05-30 17:56:15.586043,0 days 00:21:22.994416,1.4682697867030944e-06,unet,minmax,30,xsigmoid,2.1082538200033852e-10,COMPLETE
14,1.309193332630552,3.411108239846584,2.1647383031427325,2023-05-30 17:36:42.807952,2023-05-30 17:51:03.763942,0 days 00:14:20.955990,1.867965345708325e-06,fpn,negone,25,mae,1.3690340503702826e-10,COMPLETE
15,1.0493494622077177,4.720807101009568,2.5187177143455974,2023-05-30 17:51:03.850946,2023-05-30 18:26:19.967774,0 days 00:35:16.116828,9.218592325854967e-06,unet++,zscore,126,logcosh,2.5757119022190637e-08,COMPLETE
16,2.218735742600234,49.01019337271818,9.11392092040499,2023-05-30 17:56:15.691677,2023-05-30 18:00:39.686247,0 days 00:04:23.994570,3.185279508839284e-06,unet++,minmax,126,logcosh,1.592419093873751e-08,COMPLETE
17,1.1648276730496718,4.6452437105456585,2.478346531602464,2023-05-30 18:00:39.805885,2023-05-30 18:05:31.846154,0 days 00:04:52.040269,2.6283184667976507e-05,deeplabv3+,zscore,34,mae,1.0465709951315053e-12,COMPLETE
18,1.0597270564516177,1.3582349866750074,1.1681327363134664,2023-05-30 18:05:31.948048,2023-05-30 18:17:37.003249,0 days 00:12:05.055201,0.0004023863922539117,pspnet,minmax,10,smooth,2.8915997781040094e-07,COMPLETE
19,1.0583692679901178,4.006727409090579,2.247897066278666,2023-05-30 18:17:37.118391,2023-05-30 18:22:52.284608,0 days 00:05:15.166217,0.00029128861050917507,unet,zscore,94,logcosh,2.178140071514902e-05,COMPLETE
20,1.102875925406447,1.9572386695805628,1.4209436789770988,2023-05-30 18:22:52.394557,2023-05-30 18:33:48.290534,0 days 00:10:55.895977,8.761953048594023e-05,deeplabv3,negone,37,logcosh,7.195865093725169e-09,COMPLETE
21,0.9630187621428106,0.40660362021027563,0.7066731587833684,2023-05-30 18:26:20.093185,2023-05-30 18:56:12.737095,0 days 00:29:52.643910,5.102235004437941e-06,unet++,minmax,6,mae,4.52391314541118e-09,COMPLETE
22,0.9926149195482147,0.9172396341233279,0.9341048239217754,2023-05-30 18:33:48.386986,2023-05-30 18:40:23.191153,0 days 00:06:34.804167,0.0014760329488129659,unet++,negone,22,mse,5.8429706622947464e-09,COMPLETE
23,1.0683858226276923,4.384070223800676,2.408890869228076,2023-05-30 18:40:23.290627,2023-05-30 18:58:32.587206,0 days 00:18:09.296579,2.221823854185332e-05,manet,zscore,108,logcosh,1.4843079940067858e-11,COMPLETE
24,1.0665515783214816,5.261536093584677,2.934363333044286,2023-05-30 18:56:35.951991,2023-05-30 19:35:44.114060,0 days 00:39:08.162069,2.3899838645133014e-06,unet++,negone,27,huber,8.716236047182032e-08,COMPLETE
25,1.1674363366156548,4.8380124594746565,2.5459437246841645,2023-05-30 18:58:54.204882,2023-05-30 19:31:39.179152,0 days 00:32:44.974270,3.646490568252378e-06,deeplabv3+,zscore,78,logcosh,3.3060213667953846e-05,COMPLETE
26,1.1641966635510774,3.6878823265686633,2.2761839843330223,2023-05-30 19:31:39.322517,2023-05-30 19:45:57.983499,0 days 00:14:18.660982,5.282986358782595e-06,deeplabv3+,minmax,73,logcosh,7.332317769012572e-10,COMPLETE
27,0.99342068004128,0.8883657966117572,0.8964990811538683,2023-05-30 19:35:44.210699,2023-05-30 19:51:46.517200,0 days 00:16:02.306501,0.001781361518944176,manet,negone,71,logcosh,0.0002711198826646007,COMPLETE
