number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_learning_rate,params_model_name,params_train_batch_size,params_training_loss,params_weight_decay,state
0,0.16369257494807243,0.042111482471227646,32.70653512868307,2023-06-08 15:27:40.465765,2023-06-08 15:31:35.419026,0 days 00:03:54.953261,1.7703647655433445e-06,linknet,53,xsigmoid,5.33496290184721e-11,COMPLETE
1,0.03658236376941204,0.0033425873843953013,1.0545609113392023,2023-06-08 15:31:35.445100,2023-06-08 15:42:30.766557,0 days 00:10:55.321457,0.00046244051067864396,pspnet,32,smooth,3.1344276805647586e-10,COMPLETE
2,0.03543385677039623,0.004779669281560928,1.0407254355846456,2023-06-08 15:34:13.878275,2023-06-08 15:49:02.079911,0 days 00:14:48.201636,3.991384023693747e-05,linknet,14,xtanh,2.3901933799233432e-06,COMPLETE
3,0.036569949239492416,0.0032770492834970355,1.0550878703187865,2023-06-08 15:34:13.884726,2023-06-08 15:46:50.394963,0 days 00:12:36.510237,0.003626544053921592,deeplabv3,116,smooth,0.0003705941320104994,COMPLETE
4,0.022810022346675396,0.0009913602116284892,0.962644620336346,2023-06-08 15:34:14.241122,2023-06-08 15:44:59.191218,0 days 00:10:44.950096,0.0008177660882969862,unet++,104,mae,2.576857222319481e-07,COMPLETE
5,0.022792536299675703,0.000981763267191127,0.9642896221905234,2023-06-08 15:34:14.415530,2023-06-08 15:43:19.889396,0 days 00:09:05.473866,0.0011562648552964404,unet++,101,mae,3.3179258557680775e-11,COMPLETE
6,0.10294064693152905,0.02038672473281622,3.803381011331325,2023-06-08 15:34:14.414090,2023-06-08 15:38:37.037654,0 days 00:04:22.623564,8.584094975323017e-06,deeplabv3+,76,smooth,4.9732914668949905e-12,COMPLETE
7,0.037409513257443905,0.003194405057001859,1.053825354594503,2023-06-08 15:34:15.477402,2023-06-08 15:43:29.484784,0 days 00:09:14.007382,0.002520109161224812,deeplabv3,118,mae,5.624006149998715e-06,COMPLETE
8,0.11266295053064823,0.024639821145683527,19318.393039270573,2023-06-08 15:34:13.973243,2023-06-08 15:37:48.352642,0 days 00:03:34.379399,9.346577708330885e-06,deeplabv3,110,mse,5.993660270140755e-11,COMPLETE
9,0.022671514190733433,0.0010961961233988404,0.9655392447583114,2023-06-08 15:34:15.824993,2023-06-08 15:51:17.119137,0 days 00:17:01.294144,0.0001429722561936621,manet,56,mse,6.557160000743048e-08,COMPLETE
10,0.39107540994882584,0.18739566951990128,29306.614210995343,2023-06-08 15:34:16.027469,2023-06-08 15:38:14.257376,0 days 00:03:58.229907,2.011352871125772e-06,fpn,114,mse,6.925919072590395e-10,COMPLETE
11,0.09990337491035461,0.013610715977847576,1.5210404572322955,2023-06-08 15:37:48.397314,2023-06-08 15:46:27.126816,0 days 00:08:38.729502,1.4215542754491978e-06,deeplabv3+,16,huber,4.648287649088613e-08,COMPLETE
12,0.13539555668830872,0.021456339862197638,1.372008522377585,2023-06-08 15:38:14.312375,2023-06-08 16:09:37.113602,0 days 00:31:22.801227,2.2451664716613093e-06,fpn,94,xsigmoid,1.6744231573097668e-12,COMPLETE
13,0.10364597849547863,0.02065599337220192,106.95482040446302,2023-06-08 15:38:37.080996,2023-06-08 15:41:42.743474,0 days 00:03:05.662478,8.066956589537661e-06,manet,80,logcosh,8.264301212496037e-05,COMPLETE
14,0.023850854486227036,0.0011216398561373353,0.9664704112016909,2023-06-08 15:41:42.782691,2023-06-08 15:52:37.679464,0 days 00:10:54.896773,0.0002901432735124119,unet++,98,mse,1.0995239588934702e-11,COMPLETE
15,0.03895190544426441,0.0033817918156273663,1.0637353745849674,2023-06-08 15:42:30.809734,2023-06-08 15:55:26.897808,0 days 00:12:56.088074,4.736797089106019e-05,pspnet,52,logcosh,1.18315656490378e-10,COMPLETE
16,0.04852182511240244,0.004032031632959843,1.0713890997384163,2023-06-08 15:43:19.934833,2023-06-08 16:09:18.087845,0 days 00:25:58.153012,4.191242632508705e-06,unet++,60,xtanh,6.393308843118069e-09,COMPLETE
17,0.3841036260128021,0.17698098346590996,66043.71701517381,2023-06-08 15:43:29.530473,2023-06-08 15:46:53.532852,0 days 00:03:24.002379,1.2182734275546983e-06,fpn,128,mse,0.00042539530976890407,COMPLETE
18,0.030840654391795397,0.002368426532484591,1.0189403723379375,2023-06-08 15:44:59.237042,2023-06-08 15:53:47.642828,0 days 00:08:48.405786,0.00035221891006010134,deeplabv3+,73,huber,1.0077547208745537e-12,COMPLETE
19,0.06573169305920601,0.0067744244588539,1.1418961776670387,2023-06-08 15:46:27.168667,2023-06-08 16:16:15.266095,0 days 00:29:48.097428,1.872993387095021e-06,deeplabv3+,14,mse,5.009036091165445e-05,COMPLETE
20,0.022053719498217106,0.0011248817900195718,0.9622564793952976,2023-06-08 15:46:50.440895,2023-06-08 15:55:59.786280,0 days 00:09:09.345385,0.0004077925116611022,unet++,14,mse,5.7418893048718154e-12,COMPLETE
